Breed Name,Description,Dog Size,Dog Breed Group,Height,"Avg. Height, cm",Weight,"Avg. Weight, kg",Life Span,"Avg. Life Span, years",Adaptability,Adapts Well To Apartment Living,Good For Novice Owners,Sensitivity Level,Tolerates Being Alone,Tolerates Cold Weather,Tolerates Hot Weather,All Around Friendliness,Affectionate With Family,Kid-Friendly,Dog Friendly,Friendly Toward Strangers,Health And Grooming Needs,Amount Of Shedding,Drooling Potential,Easy To Groom,General Health,Potential For Weight Gain,Size,Trainability,Easy To Train,Intelligence,Potential For Mouthiness,Prey Drive,Tendency To Bark Or Howl,Wanderlust Potential,Physical Needs,Energy Level,Intensity,Exercise Needs,Potential For Playfulness
Goldador,"Goldadors are a mix of Golden Retrievers and Labrador Retrievers, combining the breeds' intelligence and friendly demeanor. They are loyal and affectionate companions, often excelling as service dogs and family pets.
",Very Large,Hybrid Dogs,22 to 24 inches tall at the shoulder,58.42,60 to 80 pounds,31.5,10 to 15 years,12,3.6,2,4,3,4,5,4,5,5,5,5,5,3.2,3,2,4,4,3,4,2.6,4,5,2,1,1,4,5,5,5,5,5
Golden Cocker Retriever,"Golden Cocker Retrievers are a mix of Golden Retrievers and Cocker Spaniels, combining the breeds' friendly nature and intelligence. They are affectionate and playful dogs, often forming strong bonds with their families.
",Large,Mixed Breed Dogs,20 to 24 inches,55.88,30 to 45 pounds,16.88,12 to 15 years,14,2.4,1,4,4,1,2,4,4.33,5,4,4,3,3.4,4,1,4,4,4,3,3,4,4,2,2,3,4,3.67,5,2,4,5
Golden Mountain Dog,"Golden Mountain Dogs are a mix of Golden Retrievers and Bernese Mountain Dogs, combining the breeds' intelligence and gentle temperament. They are loyal and affectionate companions, often excelling as family pets and therapy dogs.
",Very Large,Mixed Breed Dogs,24 to 28 inches,66.04,75 to 120 pounds,43.88,9 to 15 years,12,2.4,1,2,2,2,5,1,4.67,5,5,4,3,3.4,4,4,2,3,4,5,3,4,4,2,2,3,4,3.67,4,2,5,5
Golden Retriever,"Golden Retrievers are friendly and intelligent dogs known for their golden coat and gentle demeanor. They are loyal and affectionate companions, often excelling as therapy dogs, service dogs, and family pets.
",Very Large,Sporting Dogs,21 to 24 inches tall at the shoulder,57.15,55 to 75 pounds,29.25,10 to 12 years,11,2.8,2,3,5,1,3,3,5,5,5,5,5,3.6,5,4,2,2,5,3,4.2,5,5,5,3,3,2,4,5,2,5,5
Golden Retriever Corgi,"Golden Retriever Corgis are a mix of Golden Retrievers and Welsh Corgis, combining the breeds' intelligence and playful nature. They are affectionate and energetic dogs, often forming strong bonds with their families.
",Very Large,Mixed Breed Dogs,10 to 18 inches,35.56,30 to 75 pounds,23.62,10 to 13 years,12,3.2,3,4,3,3,3,3,4.67,5,5,4,4,3.4,4,3,3,3,4,3,3.2,4,4,3,2,3,2,3.33,4,3,3,5
Golden Shepherd,"Golden Shepherds are a mix of Golden Retrievers and German Shepherds, combining the breeds' intelligence and loyalty. They are versatile and affectionate companions, often excelling as working dogs and family pets.
",Very Large,Mixed Breed Dogs,20 to 26 inches,58.42,55 to 85 pounds ,31.5,10 to 14 years,12,3,2,2,5,1,5,4,4.33,5,5,3,5,3,5,2,2,3,3,5,4.2,5,5,5,3,3,2,4.33,5,3,5,5
Goldendoodle,"Goldendoodles are a mix of Golden Retrievers and Poodles, combining the breeds' intelligence and hypoallergenic coat. They are playful and affectionate dogs, often forming strong bonds with their families.
",Very Large,Hybrid Dogs,20 to 24 inches tall at the shoulder,55.88,50 to 90 pounds,31.5,10 to 15 years,12,3,1,4,4,3,3,3,5,5,5,5,4,2.6,2,1,4,3,3,4,2.8,4,5,1,1,3,3,4,4,3,5,5
Gollie,"Gollies are a mix of Golden Retrievers and Collies, combining the breeds' intelligence and loyalty. They are energetic and affectionate dogs, often excelling as family pets and working dogs.
",Very Large,Mixed Breed Dogs,22 to 26 inches,60.96,50 to 75 pounds,28.12,12 to 15 years,14,2.6,1,4,3,2,3,3,4.67,5,5,4,4,3.2,4,2,3,3,4,3,2.8,4,4,2,2,2,4,4,5,3,4,5
Gordon Setter,"Gordon Setters are elegant and athletic dogs known for their distinctive black and tan coat and loyal temperament. They are intelligent and devoted companions, often excelling as hunting dogs and family pets.
",Very Large,Sporting Dogs,23 inches to 27 inches tall at the shoulder,63.5,45 to 80 pounds,28.12,10 to 12 years,11,2.8,2,3,4,1,4,3,3.33,5,3,2,3,3.4,5,3,2,4,3,3,4.4,5,5,3,4,5,4,4,5,2,5,5
Great Dane,"Great Danes are giant dogs known for their imposing size and gentle nature. They are affectionate and loyal companions, often forming strong bonds with their families despite their massive stature.
",Very Large,Working Dogs,26 to 34 inches tall at the shoulder,76.2,100 to 200 pounds,67.5,7 to 10 years,8,2,1,1,5,1,2,3,5,5,5,5,5,4,5,4,5,4,2,5,3.4,5,3,2,3,4,3,5,5,5,5,5
Great Pyrenees,"Great Pyrenees are large and majestic dogs known for their thick white coat and protective nature. They are calm and gentle companions, often serving as guardians for their families and livestock.
",Very Large,Working Dogs,25 to 32 inches tall at the shoulder,72.39,85 to 160 pounds,55.12,10 to 12 years,11,2.8,1,1,4,3,5,3,4.33,5,4,4,3,3.4,5,2,4,2,4,5,3.4,1,4,2,5,5,5,5,5,5,5,4
Greater Swiss Mountain Dog,"Greater Swiss Mountain Dogs are large and powerful working dogs known for their sturdy build and gentle temperament. They are loyal and protective companions, often forming strong bonds with their families.
",Very Large,Working Dogs,23 to 28 inches tall at the shoulder,64.77,85 to 140 pounds,50.62,7 to 9 years,8,3,1,2,4,3,5,1,5,5,5,5,3,3,3,1,5,2,4,5,3.4,3,3,3,4,4,3,4,5,4,3,5
Greyador,"Greyadors are a mix of Labrador Retrievers and Greyhounds, combining the breeds' intelligence and athleticism. They are energetic and affectionate dogs, often excelling in various canine sports and activities.
",Very Large,Mixed Breed Dogs,21 to 27 inches,60.96,50 to 80 pounds ,29.25,11 to 13 years,12,2.4,3,2,5,1,1,3,5,5,5,5,5,4.6,5,4,5,4,5,4,4.2,3,5,5,4,4,4,4,4,4,4,4
Greyhound,"Greyhounds are sleek and athletic dogs known for their impressive speed and gentle demeanor. They are affectionate and laid-back companions, often enjoying lounging around with their families.
",Very Large,Hound Dogs,25 inch to 30 inches tall at the shoulder,69.85,50 to 85 pounds,30.38,12 to 15 years,14,2.6,4,2,5,1,1,5,4.67,5,5,4,5,4.6,4,5,5,4,5,4,4.2,5,5,4,5,2,5,4.33,5,3,5,4
Hamiltonstovare,"Hamiltonstovares are Swedish scent hounds known for their keen sense of smell and energetic nature. They are intelligent and determined dogs, often excelling in hunting and tracking activities.
",Very Large,Hound Dogs,19 to 24 inches,54.61,40 to 75 pounds,25.88,14 to 17 years,16,3,3,2,4,3,3,3,4,5,4,3,3,2.6,1,1,4,4,3,3,3.4,3,4,2,5,3,2,4,5,3,4,4
Hanoverian Scenthound,"Hanoverian Scenthounds are German hunting dogs known for their keen sense of smell and determined nature. They are loyal and versatile companions, often excelling in hunting and search-and-rescue activities.
",Very Large,Working Dogs,19 to 22 inches,52.07,80 to 100 pounds,40.5,12 to 14 years,13,2.6,2,1,4,3,3,3,4.67,5,5,4,3,2.8,2,1,4,4,3,4,3,2,4,2,4,3,2,3.67,4,3,4,4
Harrier,"Harriers are medium-sized hunting dogs known for their athleticism and friendly demeanor. They are energetic and outgoing companions, often excelling in scent-based activities like hunting and tracking.
",Very Large,Hound Dogs,19 to 21 inches tall at the shoulder,50.8,45 to 60 pounds,23.62,10 to 12 years,11,2.4,1,3,2,3,3,4,4.67,4,5,5,5,3.4,3,1,5,5,3,3,3.4,2,4,3,4,4,5,4.67,5,4,5,5
Havanese,"Havanese are small and charming dogs known for their silky coat and affectionate nature. They are playful and sociable companions, often forming strong bonds with their families.
",Small,Companion Dogs,8 to 11 inches tall at the shoulder,24.13,7 to 13 pounds,4.5,12 to 15 years,14,3.6,5,5,4,1,3,4,4.67,5,4,5,5,2.2,2,1,1,3,4,2,3.6,5,4,3,4,2,2,2.67,3,2,3,5
Havapoo,"Havapoos are a mix of Havanese and Poodles, combining the breeds' affectionate nature and intelligence. They are playful and energetic dogs, often forming strong bonds with their families.
",Medium,Mixed Breed Dogs,8 to 15 inches,29.21,7 to 30 pounds,8.33,10 to 14 years,12,3.6,5,5,4,1,3,4,4.33,5,4,4,4,2,1,1,1,3,4,2,3.6,5,5,3,3,2,3,2.67,3,2,3,5
Hokkaido,"Hokkaidos, also known as Ainu Dogs, are Japanese hunting dogs known for their loyalty and strength. They are brave and loyal companions, often forming strong bonds with their families.
",Very Large,Working Dogs,18 to 22 Inches,50.8,45 to 65 Pounds,24.75,11 to 13 Years,12,3,3,2,2,3,5,2,3.67,4,4,3,3,3,4,2,1,5,3,3,3.4,3,4,3,4,3,3,2.67,3,2,3,3
Horgi,"Horgis are a mix of Welsh Corgis and Huskies, combining the breeds' small size and intelligence. They are energetic and affectionate dogs, often forming strong bonds with their families.
",Large,Mixed Breed Dogs,12 to 15 inches ,34.29,20 to 50 pounds,15.75,12 to 15 years ,14,2.8,2,2,4,2,4,3,4.67,5,5,4,5,3,4,2,3,3,3,2,3.8,4,4,4,4,3,3,3.67,4,3,4,4
Hovawart,"Hovawarts are German guardian dogs known for their protective nature and loyalty. They are calm and confident companions, often serving as guardians for their families and properties.
",Very Large,Working Dogs,23 to 29 inches,66.04,55 to 110 pounds,37.12,10 to 14 years,12,2.4,1,2,3,2,4,3,3.33,4,4,2,2,3,3,1,4,4,3,4,2.4,2,4,2,2,2,2,4,4,4,4,4
Huskita,"Huskitas are a mix of Huskies and Akitas, combining the breeds' intelligence and strength. They are loyal and protective dogs, often forming strong bonds with their families.
",Very Large,Mixed Breed Dogs,22 to 25 inches ,59.69,50 to 75 pounds ,28.12,10 to 13 years,12,2.6,2,1,4,1,5,3,3,5,2,2,3,3,4,3,1,4,3,4,3.4,2,3,3,4,5,5,4.33,4,4,5,5
Huskydoodle,"Huskydoodles are a mix of Huskies and Poodles, combining the breeds' intelligence and energetic nature. They are playful and affectionate dogs, often forming strong bonds with their families.
",Very Large,Mixed Breed Dogs,12 to 25 inches,46.99,40 to 60 pounds,22.5,10 to 14 years,12,2.6,2,2,3,2,4,3,4,4,4,4,3,3.2,3,2,3,4,4,3,3.4,3,5,3,4,2,2,4.67,5,4,5,4
Ibizan Hound,"Ibizan Hounds are elegant and athletic dogs known for their slender build and keen sight. They are independent and loyal companions, often forming strong bonds with their families.
",Very Large,Hound Dogs,22 to 27 inches tall at the shoulder,62.23,45 to 50 pounds,21.38,10 to 14 years,12,3,5,3,4,2,1,4,5,5,5,5,4,2.8,3,1,5,4,1,3,3.4,3,4,3,5,2,5,4.33,5,3,5,5
Icelandic Sheepdog,"Ibizan Hounds are elegant and athletic dogs known for their slender build and keen sight. They are independent and loyal companions, often forming strong bonds with their families.
",Large,Herding Dogs,16 to 18 inchestall at the shoulder,43.18,20 to 30 pounds,11.25,14 to 15 years,14,2.4,1,1,3,2,5,3,3.33,4,4,2,2,2.6,5,1,1,3,3,3,3,3,4,3,4,1,4,4.33,4,5,4,4
Irish Red And White Setter,"Irish Red and White Setters are elegant and athletic dogs known for their distinctive coat and friendly nature. They are intelligent and loyal companions, often excelling in hunting and retrieving activities.
",Very Large,Sporting Dogs,22 to 26 inches tall at the shoulder,60.96,50 to 70 pounds,27,10 to 14 years,12,2.6,1,3,4,1,4,3,4.33,5,4,4,4,2.2,3,1,3,2,2,3,3.6,4,4,4,3,3,4,5,5,5,5,5
Irish Setter,"Irish Setters are elegant and energetic dogs known for their beautiful mahogany coat and friendly demeanor. They are playful and affectionate companions, often forming strong bonds with their families.
",Very Large,Sporting Dogs,25 inch to 27 inches tall at the shoulder,66.04,60 to 70 pounds,29.25,11 to 15 years,13,2.8,1,3,4,2,4,3,5,5,5,5,5,2.8,4,2,3,2,3,4,4.6,4,5,5,5,4,5,4.33,5,3,5,5
Irish Terrier,"Irish Setters are elegant and energetic dogs known for their beautiful mahogany coat and friendly demeanor. They are playful and affectionate companions, often forming strong bonds with their families.
",Large,Terrier Dogs,18 to 20 inches tall at the shoulder,48.26,25 to 27 pounds,11.7,12 to 16 years,14,2.8,3,2,3,2,4,4,3.67,5,5,1,3,3,4,1,2,5,3,3,2.4,1,4,1,2,4,3,4.33,5,4,4,5
Irish Water Spaniel,"Irish Water Spaniels are Irish sporting dogs known for their curly coat and excellent swimming ability. They are intelligent and energetic companions, often excelling in water-related activities.
",Very Large,Sporting Dogs,21 inches to 24 inches tall at the shoulder,57.15,45 to 65 pounds,24.75,10 to 12 years,11,3.2,3,2,4,3,4,4,4.67,5,5,4,5,2.2,1,2,3,2,3,3,4.2,5,4,3,5,4,3,4.33,5,3,5,4
Irish Wolfhound,"Irish Wolfhounds are giant and noble dogs known for their impressive size and gentle nature. They are affectionate and loyal companions, often forming strong bonds with their families.
",Very Large,Hound Dogs,32 to 35 inches tall at the shoulder,85.09,115 to 180 pounds,66.38,6 to 8 years,7,2.4,1,2,3,2,4,2,5,5,5,5,5,2.2,3,1,3,1,3,5,3.2,3,4,3,5,1,3,2.67,2,2,4,4
Italian Greyhound,"Italian Greyhounds are small and elegant dogs known for their slender build and graceful movements. They are affectionate and sensitive companions, often forming strong bonds with their families.
",Small,Companion Dogs,13 to 15 inches tall at the shoulder,35.56,6 to 15 pounds,4.73,14 to 15 years,14,3.4,5,5,5,1,1,3,4.67,5,5,4,4,2.6,2,1,5,3,2,2,3.6,3,3,4,5,3,3,3.33,4,2,4,4
Jack-A-Poo,"Jack-A-Poos are a mix of Jack Russell Terriers and Poodles, combining the breeds' intelligence and spirited personality. They are energetic and playful dogs, often forming strong bonds with their families.
",Medium,Mixed Breed Dogs,10 to 16 inches,33.02,13 to 25 pounds,8.55,12 to 15 years,14,3.6,4,4,4,2,4,4,5,5,5,5,4,2.4,2,1,2,3,4,2,4,4,5,4,4,3,4,4.67,5,4,5,5
Jack Chi,"Jack Chis are a mix of Jack Russell Terriers and Chihuahuas, combining the breeds' small size and energetic nature. They are playful and affectionate dogs, often forming strong bonds with their families.
",Medium,Mixed Breed Dogs,12 to 15 inches,34.29,8 to 18 pounds,5.85,13 to 18 years,16,2.8,4,2,3,3,2,4,4.33,4,5,4,3,3.4,2,2,5,4,4,2,2.8,2,4,2,4,2,4,4,4,4,4,5
Jack Russell Terrier,"Jack Russell Terriers are small but spirited dogs known for their boundless energy and fearless nature. They are intelligent and lively companions, often excelling in various canine sports and activities.
",Medium,Terrier Dogs,10 to 15 inches tall at the shoulder,31.75,13 to 17 pounds,6.75,10 to 15 years,12,3,3,2,3,3,4,3,4.67,5,4,5,4,3,3,1,3,4,4,2,4.4,4,5,4,5,4,4,5,5,5,5,5
Jackshund,"Jackshunds are a mix of Jack Russell Terriers and Dachshunds, combining the breeds' small size and spirited personality. They are energetic and affectionate dogs, often forming strong bonds with their families.
",Medium,Mixed Breed Dogs,8 to 23 inches,39.37,15 to 28 pounds,9.68,12 to 15 years,14,3,4,2,3,3,3,3,4.33,5,4,4,3,3,3,1,3,3,5,2,4.4,3,5,4,5,5,5,4,4,4,4,5
Japanese Chin,"Japanese Chins are small and elegant dogs known for their distinctive appearance and affectionate nature. They are playful and sociable companions, often forming strong bonds with their families.
",Small,Companion Dogs,8 to 11 inches tall at the shoulder,24.13,4 to 9 pounds,2.92,10 to 14 years,12,3.2,5,4,3,1,3,2,3,3,3,3,4,2.6,3,1,3,3,3,1,3.2,3,3,4,3,3,1,1.67,2,1,2,4
Japanese Spitz,"Japanese Spitzs are small and fluffy dogs known for their white coat and friendly demeanor. They are intelligent and outgoing companions, often forming strong bonds with their families.
",Medium,Companion Dogs,10 to 16 inches,33.02,11 to 20 pounds,6.98,10 to 16 years,13,3.4,4,4,3,2,4,3,4.33,4,5,4,2,2.6,3,1,4,3,2,2,3.2,4,4,2,2,4,2,2.67,3,2,3,4
Korean Jindo Dog,"Korean Jindo Dogs are Korean hunting dogs known for their loyalty and independent nature. They are brave and loyal companions, often forming strong bonds with their families.
",Very Large,Sporting Dogs,19Â½ to 21 inches for males,50.8,35 - 60 pounds,21.38,12 - 15 years,14,3,3,2,3,2,5,2,3.67,5,3,3,4,2.6,5,1,1,4,2,3,3.5,2,5,2,5,,5,4.33,4,4,5,4
Kai Ken,"Kai Kens, also known as Tora Inu, are Japanese hunting dogs known for their tiger-striped coat and loyal temperament. They are intelligent and agile companions, often forming strong bonds with their families.
",Large,Companion Dogs,17 to 22 inches,49.53,25 to 45 pounds,15.75,12 to 16 years,14,2.6,2,2,2,3,4,3,3.67,4,4,3,2,3,4,2,2,4,3,3,3.4,3,5,2,5,2,3,4.67,5,4,5,3
Karelian Bear Dog,"Karelian Bear Dogs are Finnish hunting dogs known for their courage and determination. They are loyal and protective companions, often used for hunting large game like bears.
",Very Large,Working Dogs,19 to 24 inches,54.61,44 to 50 pounds,21.15,10 to 13 years,12,2.8,2,1,4,2,5,3,2.67,4,3,1,2,2.8,3,1,4,4,2,3,3.8,2,4,4,5,4,5,4.33,4,5,4,4
Keeshond,"Keeshonds are Dutch companion dogs known for their distinctive ""spectacles"" markings and friendly demeanor. They are affectionate and lively companions, often forming strong bonds with their families.
",Large,Companion Dogs,16 inches to 19 inches tall at the shoulder,44.45,35 to 45 pounds,18,12 to 15 years,14,3.8,4,4,5,1,5,3,4.67,5,5,4,4,3.2,5,1,3,3,4,3,3.6,4,4,3,3,4,2,3.33,4,3,3,5
Kerry Blue Terrier,"Kerry Blue Terriers are Irish working dogs known for their distinctive blue coat and spirited personality. They are intelligent and energetic companions, often excelling in various canine sports and activities.
",Large,Terrier Dogs,17 to 19 inches tall at the shoulder,45.72,33 to 40 pounds,16.42,12 to 15 years,14,3,3,2,3,3,4,3,3.33,4,4,2,5,2,1,1,2,3,3,3,3.8,4,4,4,3,4,3,4.33,4,4,5,4
King Shepherd,"King Shepherds are large and noble dogs known for their imposing size and gentle nature. They are loyal and protective companions, often forming strong bonds with their families.
",Very Large,Hybrid Dogs,25 to 31 inches ,71.12,75 to 150 pounds ,50.62,10 to 11 years ,10,3.4,4,2,4,2,5,4,4.33,4,4,5,4,3.8,4,4,4,3,4,5,3.2,4,5,3,2,2,3,3.33,3,3,4,4
Kishu Ken,"Kishu Kens are Japanese hunting dogs known for their agile and alert nature. They are loyal and devoted companions, often forming strong bonds with their families.
",Very Large,Working Dogs,17 to 22 inches,49.53,30 to 60 pounds,20.25,9 to 13 years,11,3.2,3,2,3,3,5,3,2.67,3,3,2,2,3.2,4,2,3,4,3,3,3.2,4,5,2,4,1,2,3.33,3,3,4,2
Komondor,"Komondors are Hungarian livestock guardian dogs known for their distinctive corded coat and protective nature. They are loyal and independent companions, often serving as guardians for their families and livestock.
",Very Large,Working Dogs,25 to 27 inches tall at the shoulder,66.04,80 to 100 pounds,40.5,10 to 12 years,11,2.4,2,1,4,1,4,3,3,5,3,1,1,2.4,3,2,2,2,3,4,3.6,4,4,3,2,5,4,2.33,2,1,4,4
Kooikerhondje,"Kooikerhondjes are Dutch hunting dogs known for their striking appearance and friendly demeanor. They are intelligent and energetic companions, often excelling in various canine sports and activities.
",Medium,Sporting Dogs,14 to 16 inches tall at the shoulder,38.1,20 to 25 pounds,10.12,12 to 14 years,13,3.4,4,3,4,2,4,3,2.33,3,2,2,2,2.8,3,1,2,5,3,3,2.8,1,4,3,3,3,3,4.67,4,5,5,4
Kuvasz,"Kuvaszs are Hungarian livestock guardian dogs known for their majestic appearance and protective nature. They are loyal and devoted companions, often forming strong bonds with their families.
",Very Large,Working Dogs,26 to 30 inches tall at the shoulder,71.12,70 to 115 pounds,41.62,10 to 12 years,11,2.6,1,1,5,1,5,2,2.67,5,1,2,1,3.8,4,3,4,4,4,5,2.2,2,4,1,1,3,3,4.33,4,4,5,4
Kyi-Leo,"Kyi-Leos are a mix of Lhasa Apsos and Maltese, combining the breeds' small size and affectionate nature. They are playful and sociable dogs, often forming strong bonds with their families.
",Small,Mixed Breed Dogs,8 to 12 inches,25.4,8 to 14 pounds,4.95,13 to 15 years,14,4.2,5,4,3,4,5,2,4.67,5,5,4,3,2.2,2,1,2,3,3,2,3,3,3,4,1,4,2,3,4,3,2,4
Lab Pointer,"Lab Pointers are a mix of Labrador Retrievers and Pointers, combining the breeds' intelligence and hunting instincts. They are energetic and affectionate dogs, often excelling in various canine sports and activities.
",Very Large,Mixed Breed Dogs,22 to 28 inches,63.5,35 to 80 pounds,25.88,10 to 15 years,12,2.6,1,4,3,1,4,4,4,5,4,3,4,3.2,2,2,4,4,4,4,3.4,5,4,2,4,2,4,4.33,5,3,5,4
Labernese,"Laberneses are a mix of Labrador Retrievers and Bernese Mountain Dogs, combining the breeds' intelligence and gentle nature. They are loyal and affectionate companions, often forming strong bonds with their families.
",Very Large,Mixed Breed Dogs,24 to 28 inches,66.04,65 to 110 pounds,39.38,6 to 12 years,9,3,2,4,4,1,4,2,4.33,4,5,4,3,3.2,4,3,3,2,4,4,3,3,4,3,3,2,4,3.33,4,2,4,5
Labmaraner,"Labmaraners are a mix of Labrador Retrievers and Weimaraners, combining the breeds' intelligence and athleticism. They are energetic and loyal dogs, often excelling in various canine sports and activities.
",Very Large,Mixed Breed Dogs,21 to 24 inches,57.15,60 to 100 pounds,36,10 to 12 years,11,2.6,1,4,4,1,3,3,4.33,4,5,4,3,3,1,2,4,4,4,4,3.4,4,4,3,3,3,4,4,4,3,5,5
Labrabull,"Labrabulls are a mix of Labrador Retrievers and American Pit Bull Terriers, combining the breeds' intelligence and strength. They are loyal and affectionate dogs, often forming strong bonds with their families.
",Very Large,Mixed Breed Dogs,20 to 24 inches ,55.88,45 to 90 pounds ,30.38,10 to 14 years ,12,2.4,2,2,4,1,3,3,4,5,5,2,5,3.6,5,2,5,3,3,4,4.2,5,5,5,3,3,4,4.67,5,5,4,5
Labradane,"Labradanes are a mix of Labrador Retrievers and Great Danes, combining the breeds' intelligence and gentle nature. They are loyal and affectionate companions, often forming strong bonds with their families.
",Very Large,Mixed Breed Dogs,24 to 30 inches,68.58,100 to 180 pounds,63,8 to 12 years,10,2.4,1,2,3,2,4,4,4.67,5,5,4,3,3.4,2,3,4,4,4,5,2.6,3,4,2,3,1,3,3.33,4,2,4,5
Labradoodle,"Labradoodles are a mix of Labrador Retrievers and Poodles, combining the breeds' intelligence and hypoallergenic coat. They are playful and affectionate dogs, often forming strong bonds with their families.
",Very Large,Hybrid Dogs,21 to 24 inches at the shoulder,57.15,50 to 65 pounds,25.88,12 to 14 years,13,3.8,3,4,3,4,5,4,4.67,5,4,5,5,3,3,1,4,4,3,4,2.6,4,4,1,2,2,3,4.67,5,4,5,5
Labrador Retriever,"Labrador Retrievers are friendly and outgoing dogs known for their intelligence and gentle nature. They are loyal and affectionate companions, often excelling as service dogs, therapy dogs, and family pets.
",Very Large,Sporting Dogs,21 to 24 inches at the shoulder,57.15,55 to 80 pounds,30.38,10 to 12 years,11,2.8,1,3,5,2,3,3,5,5,5,5,5,4.2,5,3,5,3,5,4,4.2,5,5,5,2,4,3,5,5,5,5,5
Labrastaff,"Labrastaffs are a mix of Labrador Retrievers and Staffordshire Bull Terriers, combining the breeds' intelligence and strength. They are loyal and affectionate dogs, often forming strong bonds with their families.
",Very Large,Mixed Breed Dogs,17 to 24 inches,52.07,40 to 80 pounds,27,10 to 14 years,12,2.4,2,2,4,1,3,3,3.67,4,4,3,4,3.6,4,3,3,4,4,4,3,2,4,3,3,3,4,3.67,4,3,4,4
Labsky,"Labskys are a mix of Labrador Retrievers and Siberian Huskies, combining the breeds' intelligence and energetic nature. They are playful and affectionate dogs, often forming strong bonds with their families.
",Very Large,Mixed Breed Dogs,20 to 28 inches,60.96,40 to 60 pounds,22.5,10 to 12 years,11,2.6,2,2,2,2,5,1,4,5,4,3,3,3,4,2,2,3,4,4,4,4,5,3,4,4,4,4.67,5,4,5,5
Lagotto Romagnolo,"Lagotto Romagnolos are Italian water dogs known for their curly coat and keen sense of smell. They are intelligent and energetic companions, often excelling in various canine sports and activities.
",Large,Sporting Dogs,14 to 19 inches,41.91,24 to 35 pounds,13.28,14 to 17 years,16,3.2,2,4,3,3,4,3,3,3,3,3,3,2.2,1,2,1,4,3,2,3.4,4,4,2,4,3,3,3.33,4,2,4,4
Lakeland Terrier,"Lagotto Romagnolos are Italian water dogs known for their curly coat and keen sense of smell. They are intelligent and energetic companions, often excelling in various canine sports and activities.
",Medium,Terrier Dogs,13 to 14 inches tall at the shoulder,34.29,15 to 17 pounds,7.2,12 to 15 years,14,3.2,4,3,3,2,4,4,4,5,4,3,3,2.6,2,1,2,5,3,2,3,2,4,1,4,4,3,4.33,5,4,4,4
Lancashire Heeler,"Lancashire Heelers are British herding dogs known for their compact size and keen herding instinct. They are intelligent and energetic companions, often excelling in herding trials and activities.
",Medium,Herding Dogs,10 to 12 inches tall at the shoulder,27.94,13 to 15 pounds,6.3,9 to 14 years,12,2.6,2,2,3,3,3,3,3.33,4,3,3,2,3.2,3,1,4,4,4,1,2.6,3,4,2,2,2,4,3.67,4,4,3,4
Leonberger,"Leonbergers are giant and majestic dogs known for their lion-like mane and gentle nature. They are affectionate and loyal companions, often forming strong bonds with their families despite their massive size.
",Very Large,Working Dogs,25 to 31 inches tall at the shoulder,71.12,120 to 170 pounds,65.25,10 to 12 years,11,2.6,1,1,4,2,5,1,4,5,4,3,2,3.4,5,3,4,1,4,5,3.2,2,3,4,4,3,2,4,4,4,4,4
Lhasa Apso,"Lhasa Apsos are Tibetan companion dogs known for their long and flowing coat and independent nature. They are affectionate and loyal companions, often forming strong bonds with their families.
",Medium,Companion Dogs,9 to 11 inches tall at the shoulder,25.4,12 to 15 pounds,6.08,12 to 15 years,14,4.4,5,5,5,4,3,2,3.67,4,4,3,2,2.2,3,1,1,3,3,1,3.6,3,4,3,4,4,2,3.33,4,3,3,5
Lhasapoo,"Lhasapoos are a mix of Lhasa Apsos and Poodles, combining the breeds' small size and hypoallergenic coat. They are playful and affectionate dogs, often forming strong bonds with their families.
",Medium,Mixed Breed Dogs,9 to 13 inches,27.94,10 to 15 pounds,5.62,10 to 15 years,12,3,4,2,4,2,3,3,3.33,4,3,3,1,2.4,1,1,3,4,3,3,3.2,3,5,2,2,4,2,3.67,4,4,3,4
Lowchen,"Lowchens, also known as Little Lions, are small and lively dogs known for their lion-like appearance and friendly demeanor. They are affectionate and playful companions, often forming strong bonds with their families.
",Medium,Companion Dogs,12 to 14 inches tall at the shoulder,33.02,9 to 18 pounds,6.08,13 to 15 years,14,3.2,5,4,3,1,3,3,4.67,5,5,4,4,3,3,1,3,5,3,1,4,5,4,3,4,4,5,3.67,4,3,4,5
Maltese,"Maltese are small and elegant dogs known for their long and flowing white coat and gentle temperament. They are affectionate and playful companions, often forming strong bonds with their families.
",Small,Companion Dogs,8 to 10 inches tall at the shoulder,22.86,Up to 7 pounds,3.15,12 to 15 years,14,3.2,5,5,4,1,1,3,4,5,3,4,2,2.2,2,1,2,3,3,1,3.8,4,4,3,4,4,1,2.67,3,3,2,4
Maltese Shih Tzu,"Maltese Shih Tzus are a mix of Maltese and Shih Tzus, combining the breeds' small size and affectionate nature. They are playful and sociable dogs, often forming strong bonds with their families.
",Small,Hybrid Dogs,From 10 inches tall at the shoulder,25.4,6 to 12 pounds,4.05,12 to 14 years,13,3.6,5,5,3,3,2,2,3.33,4,3,3,3,1.8,1,1,2,2,3,1,4,4,3,4,5,4,1,2.67,3,2,3,3
